level,model,model_label,family,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,n,complexity,interpretability,paper_writability,uses_future_weather_scenario,notes
category,lasso_context,Lasso回归(类别/门店上下文特征),可解释回归,8.695550533697794,14.713829366971627,0.3848653071622814,38.48653071622814,5061.0,5682.989464371497,224,中,较高,中,True,带变量筛选倾向，但系数稳定性需谨慎。
category,same_weekday_mean_8,同星期均值(近8周),强baseline,8.80078125,15.107725617242751,0.3895228215767635,38.95228215767635,5061.0,5540.625,224,低,高,高,False,只用历史相同星期几销量。
category,ridge_by_store_context,按门店分别建Ridge,分组模型,9.048823398249885,14.231054898325768,0.40050117391977363,40.050117391977366,5061.0,5816.460180451407,224,中高,中,中,True,每家门店单独拟合，样本减少，可能不稳定。
product,extra_trees_context,ExtraTrees(上下文特征),树模型,5.508169610281063,9.232246579487338,0.36568760898131536,36.568760898131536,5061.0,5301.446566516198,336,高,中,中,True,更随机的树集成，检验树模型稳定性。
product,ensemble_q1_ridge_context_50,指数平滑与Ridge上下文等权集成,集成模型,5.740773825951261,10.83935863380009,0.38113021251128704,38.11302125112871,5061.0,5197.257649555864,336,中,较高,较高,True,简单平均，避免在验证集上调权。
product,ridge_basic,Ridge回归(原Q4特征),可解释回归,5.8232614177609845,10.905221441722288,0.38660656715425623,38.660656715425624,5061.0,5018.373403211319,336,中,高,高,True,复核原 Q4 Ridge 的严格递推表现。
product,linear_basic,多元线性回归(基础特征),可解释回归,5.826800737133037,10.908883758878876,0.38684154271422655,38.684154271422656,5061.0,5019.758380995261,336,中,高,高,True,滞后、滚动、日历、门店、商品、类别和外部变量。
product,exp_smoothing,问题一门店-商品指数平滑,强baseline,5.883369771367517,11.257313988452804,0.3905971632443164,39.05971632443164,5061.0,4732.861663534108,336,低,高,高,False,问题一门店-商品层级最优简单模型。
product,moving_average_7,近7日移动平均,强baseline,6.082134318253137,11.354085545535156,0.40379314975954433,40.379314975954436,5061.0,4900.266964809367,336,低,高,高,False,只用最近 7 天历史销量。
product,ridge_no_weather_activity,Ridge回归(不含天气活动),可解释回归,6.101084497241265,11.437663794012877,0.40505125292888067,40.50512529288807,5061.0,5146.437130413569,336,中,高,高,False,不使用未来难以准确获得的天气和活动日。
product,moving_average_14,近14日移动平均,强baseline,6.15741157016797,11.820357649850862,0.40879080963770753,40.879080963770754,5061.0,4788.147203047154,336,低,高,高,False,只用最近 14 天历史销量，比 7 日均值更平滑。
product,ridge_by_category_context,按类别分别建Ridge,分组模型,6.174316561293388,11.235632586636509,0.4099131326999759,40.99131326999759,5061.0,5691.24935497875,336,中高,中,中,True,每个类别单独拟合，低销量类别样本不足风险更高。
product,random_forest_context,随机森林(上下文特征),树模型,6.234780882925734,11.011337314426912,0.4139273615220404,41.39273615220404,5061.0,5669.973304519895,336,高,中,中,True,捕捉非线性和交互，论文解释比回归更困难。
product,hybrid_scale_q1_ridge_context,低销量指数平滑/高销量Ridge混合,分层集成,6.326737860381271,11.683606053610266,0.42003238907095575,42.00323890709557,5061.0,5602.136891750802,336,中,较高,中,True,阈值由每个窗口训练期门店-商品平均销量中位数确定。
product,ridge_context,Ridge回归(类别/门店上下文特征),可解释回归,6.371171460485605,11.61493538889358,0.4229823376256003,42.29823376256003,5061.0,5661.653635577619,336,中,较高,较高,True,新增门店-类别、门店总量、商品全店总量的历史上下文特征。
product,lasso_context,Lasso回归(类别/门店上下文特征),可解释回归,6.376737586518213,11.611489389851277,0.42335187296386473,42.33518729638647,5061.0,5682.989464371498,336,中,较高,中,True,带变量筛选倾向，但系数稳定性需谨慎。
product,same_weekday_mean_8,同星期均值(近8周),强baseline,6.494419642857143,12.06536212343595,0.4311647895672792,43.116478956727924,5061.0,5540.625,336,低,高,高,False,只用历史相同星期几销量。
product,ridge_by_store_context,按门店分别建Ridge,分组模型,6.564739000321514,11.177255334406372,0.4358332946271544,43.58332946271544,5061.0,5816.460180451407,336,中高,中,中,True,每家门店单独拟合，样本减少，可能不稳定。
store,extra_trees_context,ExtraTrees(上下文特征),树模型,9.202167894897988,14.400965572189556,0.35637717988539924,35.637717988539926,5061.0,5301.446566516198,196,高,中,中,True,更随机的树集成，检验树模型稳定性。
store,ridge_basic,Ridge回归(原Q4特征),可解释回归,9.52705500085687,14.447078843659092,0.3689592531452177,36.89592531452177,5061.0,5018.373403211319,196,中,高,高,True,复核原 Q4 Ridge 的严格递推表现。
store,linear_basic,多元线性回归(基础特征),可解释回归,9.531730547219716,14.450877377848778,0.369140325480155,36.9140325480155,5061.0,5019.758380995259,196,中,高,高,True,滞后、滚动、日历、门店、商品、类别和外部变量。
store,ensemble_q1_ridge_context_50,指数平滑与Ridge上下文等权集成,集成模型,9.686542221824286,14.93497348251981,0.375135798355574,37.5135798355574,5061.0,5197.257649555864,196,中,较高,较高,True,简单平均，避免在验证集上调权。
store,exp_smoothing,问题一门店-商品指数平滑,强baseline,9.810171153182491,15.963126120538085,0.3799236407871504,37.99236407871504,5061.0,4732.861663534109,196,低,高,高,False,问题一门店-商品层级最优简单模型。
store,moving_average_7,近7日移动平均,强baseline,9.978367274578453,15.773037641756574,0.38643746014964964,38.64374601496496,5061.0,4900.266964809367,196,低,高,高,False,只用最近 7 天历史销量。
store,ridge_no_weather_activity,Ridge回归(不含天气活动),可解释回归,10.051700825216352,15.55803304352589,0.38927748700699566,38.92774870069957,5061.0,5146.437130413569,196,中,高,高,False,不使用未来难以准确获得的天气和活动日。
store,moving_average_14,近14日移动平均,强baseline,10.148811326219008,16.307032049048082,0.3930383362851068,39.30383362851068,5061.0,4788.147203047153,196,低,高,高,False,只用最近 14 天历史销量，比 7 日均值更平滑。
store,hybrid_scale_q1_ridge_context,低销量指数平滑/高销量Ridge混合,分层集成,10.214869116600097,15.05593082238448,0.3955965909609996,39.559659096099956,5061.0,5602.1368917508025,196,中,较高,中,True,阈值由每个窗口训练期门店-商品平均销量中位数确定。
store,ridge_context,Ridge回归(类别/门店上下文特征),可解释回归,10.264253966198703,15.008694871020273,0.39750914391917525,39.750914391917526,5061.0,5661.653635577621,196,中,较高,较高,True,新增门店-类别、门店总量、商品全店总量的历史上下文特征。
store,lasso_context,Lasso回归(类别/门店上下文特征),可解释回归,10.268024386127454,14.998753337062414,0.39765516294822784,39.76551629482278,5061.0,5682.989464371498,196,中,较高,中,True,带变量筛选倾向，但系数稳定性需谨慎。
store,random_forest_context,随机森林(上下文特征),树模型,10.282951774351647,15.50618651211955,0.3982332637369932,39.82332637369932,5061.0,5669.973304519894,196,高,中,中,True,捕捉非线性和交互，论文解释比回归更困难。
store,ridge_by_store_context,按门店分别建Ridge,分组模型,10.60569046436802,15.60145363200629,0.41073213416639637,41.07321341663964,5061.0,5816.460180451408,196,中高,中,中,True,每家门店单独拟合，样本减少，可能不稳定。
store,ridge_by_category_context,按类别分别建Ridge,分组模型,10.674622284595676,15.328555004742265,0.4134016929027371,41.34016929027371,5061.0,5691.249354978749,196,中高,中,中,True,每个类别单独拟合，低销量类别样本不足风险更高。
store,same_weekday_mean_8,同星期均值(近8周),强baseline,11.486607142857142,16.932703214128427,0.44484785615491007,44.484785615491006,5061.0,5540.625,196,低,高,高,False,只用历史相同星期几销量。
store_product,exp_smoothing,问题一门店-商品指数平滑,强baseline,1.8157322272490461,3.772464167389725,0.7634614067547856,76.34614067547855,5061.0,4732.861663534108,2128,低,高,高,False,问题一门店-商品层级最优简单模型。
store_product,ensemble_q1_ridge_context_50,指数平滑与Ridge上下文等权集成,集成模型,1.8194956667131914,3.6806264506918174,0.7650438211352838,76.50438211352838,5061.0,5197.257649555864,2128,中,较高,较高,True,简单平均，避免在验证集上调权。
store_product,ridge_basic,Ridge回归(原Q4特征),可解释回归,1.8237641830607352,3.7024809356477086,0.7668386053256756,76.68386053256756,5061.0,5018.373403211319,2128,中,高,高,True,复核原 Q4 Ridge 的严格递推表现。
store_product,linear_basic,多元线性回归(基础特征),可解释回归,1.823783399786632,3.7026912497587614,0.7668466853874636,76.68466853874637,5061.0,5019.75838099526,2128,中,高,高,True,滞后、滚动、日历、门店、商品、类别和外部变量。
store_product,extra_trees_context,ExtraTrees(上下文特征),树模型,1.8309650815784957,3.6355237259254514,0.7698663690177907,76.98663690177906,5061.0,5301.446566516199,2128,高,中,中,True,更随机的树集成，检验树模型稳定性。
store_product,moving_average_14,近14日移动平均,强baseline,1.8469090790815068,3.819260102850121,0.7765703458378673,77.65703458378674,5061.0,4788.147203047154,2128,低,高,高,False,只用最近 14 天历史销量，比 7 日均值更平滑。
store_product,moving_average_7,近7日移动平均,强baseline,1.8652681056621856,3.7969509585657097,0.7842897705688858,78.42897705688858,5061.0,4900.266964809366,2128,低,高,高,False,只用最近 7 天历史销量。
store_product,ridge_no_weather_activity,Ridge回归(不含天气活动),可解释回归,1.8658405622672163,3.739863814838887,0.7845304715480411,78.45304715480411,5061.0,5146.437130413569,2128,中,高,高,False,不使用未来难以准确获得的天气和活动日。
store_product,hybrid_scale_q1_ridge_context,低销量指数平滑/高销量Ridge混合,分层集成,1.880478514139328,3.7436448460683436,0.7906852950184726,79.06852950184727,5061.0,5602.136891750801,2128,中,较高,中,True,阈值由每个窗口训练期门店-商品平均销量中位数确定。
store_product,ridge_by_category_context,按类别分别建Ridge,分组模型,1.9001714767856779,3.828709881932214,0.798965600197574,79.8965600197574,5061.0,5691.24935497875,2128,中高,中,中,True,每个类别单独拟合，低销量类别样本不足风险更高。
store_product,ridge_context,Ridge回归(类别/门店上下文特征),可解释回归,1.906710076125362,3.7396032739168064,0.8017148867802352,80.17148867802352,5061.0,5661.653635577621,2128,中,较高,较高,True,新增门店-类别、门店总量、商品全店总量的历史上下文特征。
store_product,lasso_context,Lasso回归(类别/门店上下文特征),可解释回归,1.9099269936135421,3.7392308151455778,0.8030675049218766,80.30675049218766,5061.0,5682.989464371498,2128,中,较高,中,True,带变量筛选倾向，但系数稳定性需谨慎。
store_product,random_forest_context,随机森林(上下文特征),树模型,1.9354395907271795,4.104371994664103,0.813794793334803,81.3794793334803,5061.0,5669.973304519895,2128,高,中,中,True,捕捉非线性和交互，论文解释比回归更困难。
store_product,ridge_by_store_context,按门店分别建Ridge,分组模型,1.9911170398127267,3.751395397096976,0.8372055049834978,83.72055049834978,5061.0,5816.460180451408,2128,中高,中,中,True,每家门店单独拟合，样本减少，可能不稳定。
store_product,same_weekday_mean_8,同星期均值(近8周),强baseline,2.0321311090225564,4.186287313182772,0.8544507014424026,85.44507014424026,5061.0,5540.625,2128,低,高,高,False,只用历史相同星期几销量。
