method,product_a,product_b,category_a,category_b,corr,nonzero_both_days,product_a_nonzero_days,product_b_nonzero_days
Spearman,11002170-三养辣火鸡味拌面,11008644-洽洽早餐每日坚果（燕麦片）,速食类,包装冲饮,0.061059055214585205,14,499,17
Spearman,11008516-李子柒螺蛳粉335g,11008644-洽洽早餐每日坚果（燕麦片）,速食类,包装冲饮,0.04101593839894157,16,460,17
Spearman,11004973-特仑苏纯牛奶,12000292-红牛,乳类饮品,功能饮料,0.03849615276039216,373,374,697
Spearman,11002170-三养辣火鸡味拌面,11004973-特仑苏纯牛奶,速食类,乳类饮品,0.03596257198280337,271,499,374
Spearman,11001020-韩国海牌海苔 / 韩国海飘海苔,11004973-特仑苏纯牛奶,包装海苔,乳类饮品,0.029510534387508693,357,670,374
Spearman,11000405-百事可乐330ml,11005780-大丰古法瓜子,碳酸饮料,包装坚果,0.023233916108654572,648,676,670
Spearman,11002561-乡吧哥蜜汁鸡翅,11004973-特仑苏纯牛奶,包装散称,乳类饮品,0.012493111452506237,363,679,374
Spearman,11000405-百事可乐330ml,11004973-特仑苏纯牛奶,碳酸饮料,乳类饮品,0.007901192627828848,358,676,374
Spearman,11001020-韩国海牌海苔 / 韩国海飘海苔,11008644-洽洽早餐每日坚果（燕麦片）,包装海苔,包装冲饮,0.007178211874226774,17,670,17
Spearman,11004973-特仑苏纯牛奶,11008644-洽洽早餐每日坚果（燕麦片）,乳类饮品,包装冲饮,-0.011042415247762975,9,374,17
Spearman,11004973-特仑苏纯牛奶,11008516-李子柒螺蛳粉335g,乳类饮品,速食类,-0.013012073669235099,237,374,460
Spearman,11002605-老板仔香脆海苔卷（原味）,11008644-洽洽早餐每日坚果（燕麦片）,包装海苔,包装冲饮,-0.04849859963998751,11,520,17
Spearman,11005780-大丰古法瓜子,11008644-洽洽早餐每日坚果（燕麦片）,包装坚果,包装冲饮,-0.08487277509819269,16,670,17
