product_a,product_b,same_day_corr,best_lag_days,best_lag_corr,abs_gain_vs_same_day,lead_interpretation
11002605-老板仔香脆海苔卷（原味）,12001131-旺仔牛奶,0.23243455941774216,-1,0.23250122251362876,6.66630958865988e-05,product_b领先product_a
11001020-韩国海牌海苔 / 韩国海飘海苔,12001131-旺仔牛奶,0.2286132357067838,-6,0.2294750771394798,0.0008618414326959922,product_b领先product_a
11000405-百事可乐330ml,11001020-韩国海牌海苔 / 韩国海飘海苔,0.2187478255109792,-3,0.2194991087651512,0.0007512832541719805,product_b领先product_a
11000405-百事可乐330ml,11008516-李子柒螺蛳粉335g,0.2193913007469209,-1,0.21920045946668296,-0.0001908412802379411,product_b领先product_a
11000405-百事可乐330ml,11002170-三养辣火鸡味拌面,0.20370610511169954,-5,0.2056705688009615,0.0019644636892619527,product_b领先product_a
11001020-韩国海牌海苔 / 韩国海飘海苔,11008516-李子柒螺蛳粉335g,0.20174668777106478,-1,0.20203304851145212,0.00028636074038734805,product_b领先product_a
11005780-大丰古法瓜子,12000134-百事可乐600ml,0.1981519684647162,-2,0.19940886496197574,0.0012568964972595464,product_b领先product_a
11000405-百事可乐330ml,11002605-老板仔香脆海苔卷（原味）,0.18998063957788633,-1,0.19009915225019255,0.00011851267230622575,product_b领先product_a
12000134-百事可乐600ml,12000292-红牛,0.16570181827421177,-1,0.1653992668738868,-0.00030255140032495187,product_b领先product_a
11002605-老板仔香脆海苔卷（原味）,11008516-李子柒螺蛳粉335g,0.14276028401136373,-1,0.1430726839123932,0.00031239990102946424,product_b领先product_a
11002170-三养辣火鸡味拌面,11002605-老板仔香脆海苔卷（原味）,0.14004811955391894,-5,0.14302110530084605,0.002972985746927115,product_b领先product_a
11002561-乡吧哥蜜汁鸡翅,12000292-红牛,0.13437232228552673,-1,0.13406766945312434,-0.0003046528324023856,product_b领先product_a
12000292-红牛,12001131-旺仔牛奶,0.13050007760600446,-1,0.13025441597528514,-0.00024566163071931824,product_b领先product_a
11000405-百事可乐330ml,12000292-红牛,0.11174495979459528,-1,0.11139315894122304,-0.0003518008533722472,product_b领先product_a
11002170-三养辣火鸡味拌面,12000292-红牛,0.1092479716007028,-5,0.11132642021666238,0.0020784486159595716,product_b领先product_a
11002605-老板仔香脆海苔卷（原味）,12000292-红牛,0.1038711738628745,-1,0.10387268189190453,1.5080290300256705e-06,product_b领先product_a
11002605-老板仔香脆海苔卷（原味）,11004973-特仑苏纯牛奶,0.08844411768181984,-1,0.08896946165420262,0.000525343972382783,product_b领先product_a
11000405-百事可乐330ml,11005780-大丰古法瓜子,0.08581614968616828,-1,0.08629931215635764,0.000483162470189355,product_b领先product_a
11005780-大丰古法瓜子,12000292-红牛,0.06517027731142486,-2,0.0654397032265057,0.0002694259150808481,product_b领先product_a
11002605-老板仔香脆海苔卷（原味）,11008644-洽洽早餐每日坚果（燕麦片）,-0.06345440420475401,-7,-0.064133926004335,0.0006795217995809871,product_b领先product_a
11005780-大丰古法瓜子,11008644-洽洽早餐每日坚果（燕麦片）,-0.05532238811283308,-1,-0.05529921872951336,-2.3169383319726622e-05,product_b领先product_a
11008516-李子柒螺蛳粉335g,12000292-红牛,0.053368245438453636,-1,0.053133248330606356,-0.0002349971078472804,product_b领先product_a
11004973-特仑苏纯牛奶,12001131-旺仔牛奶,0.044494105574939706,-1,0.04451697604628945,2.287047134974518e-05,product_b领先product_a
11008644-洽洽早餐每日坚果（燕麦片）,12000134-百事可乐600ml,0.04424008366977328,-1,0.04417281386961754,-6.726980015573508e-05,product_b领先product_a
11004973-特仑苏纯牛奶,11008516-李子柒螺蛳粉335g,-0.03567400798383918,-6,-0.0435564199708969,0.00788241198705772,product_b领先product_a
11001020-韩国海牌海苔 / 韩国海飘海苔,12000292-红牛,0.036859868783644015,-1,0.03654453750552532,-0.00031533127811869677,product_b领先product_a
11008644-洽洽早餐每日坚果（燕麦片）,12001131-旺仔牛奶,0.03559424661666547,-6,0.03589216521996712,0.00029791860330164593,product_b领先product_a
11004973-特仑苏纯牛奶,12000134-百事可乐600ml,0.035567119153562705,-2,0.03497503139635625,-0.0005920877572064553,product_b领先product_a
11001020-韩国海牌海苔 / 韩国海飘海苔,11004973-特仑苏纯牛奶,0.028165787430316766,-2,0.029674229932345073,0.0015084425020283065,product_b领先product_a
11002561-乡吧哥蜜汁鸡翅,11008644-洽洽早餐每日坚果（燕麦片）,0.029185609393471142,-4,0.02925503062530621,6.942123183506857e-05,product_b领先product_a
11002561-乡吧哥蜜汁鸡翅,11004973-特仑苏纯牛奶,0.02594856857135647,-3,0.02870819796002333,0.0027596293886668587,product_b领先product_a
11001020-韩国海牌海苔 / 韩国海飘海苔,11008644-洽洽早餐每日坚果（燕麦片）,-0.026741836513482914,-7,-0.02793531219912387,0.0011934756856409566,product_b领先product_a
11004973-特仑苏纯牛奶,11005780-大丰古法瓜子,0.024654018319459788,-3,0.02614592787305737,0.0014919095535975806,product_b领先product_a
11002170-三养辣火鸡味拌面,11008644-洽洽早餐每日坚果（燕麦片）,0.022959501241226598,-5,0.024780962013618978,0.0018214607723923797,product_b领先product_a
11002170-三养辣火鸡味拌面,11004973-特仑苏纯牛奶,0.025084871791928587,-5,0.0215048613555544,-0.0035800104363741883,product_b领先product_a
11004973-特仑苏纯牛奶,12000292-红牛,-0.018529734476140536,-7,-0.019573290541909063,0.001043556065768527,product_b领先product_a
11008644-洽洽早餐每日坚果（燕麦片）,12000292-红牛,0.018401396296678776,-1,0.01835722954766405,-4.4166749014726975e-05,product_b领先product_a
11004973-特仑苏纯牛奶,11008644-洽洽早餐每日坚果（燕麦片）,-0.0167279908223139,-7,-0.016559350129301216,-0.0001686406930126831,product_b领先product_a
11000405-百事可乐330ml,11004973-特仑苏纯牛奶,0.01120601383597206,-3,0.012490307269611535,0.0012842934336394756,product_b领先product_a
11000405-百事可乐330ml,11008644-洽洽早餐每日坚果（燕麦片）,-0.006818038261407518,-7,-0.007383870798611102,0.0005658325372035833,product_b领先product_a
11008516-李子柒螺蛳粉335g,11008644-洽洽早餐每日坚果（燕麦片）,0.0003512489484634791,-1,0.00044256414121717435,9.131519275369524e-05,product_b领先product_a
